figer,bbn,ontonotes_shimaoka
/art,/WORK_OF_ART,/other/art/
/art/film,/WORK_OF_ART,/other/art/film
/astral_body,-,/location/celestial
/award,-,/other/award
/biology,-,/other/scientific
/body_part,-,/other/body_part
/broadcast,/WORK_OF_ART,/other/art/broadcast
/broadcast_network,-,/organization/company/broadcast
/broadcast_program,/WORK_OF_ART,-
/broadcast/tv_channel,-,/organization/company/broadcast
/building,/FACILITY/BUILDING,/location/structure
/building/airport,/FACILITY/AIRPORT,/location/structure/airport
/building/dam,/FACILITY/BUILDING,/location/structure
/building/hospital,/ORGANIZATION/HOSPITAL,/location/structure/hospital
/building/hotel,/FACILITY/BUILDING,/location/structure/hotel
/building/library,/FACILITY/BUILDING,/location/structure
/building/power_station,/FACILITY/BUILDING,/location/structure
/building/restaurant,/FACILITY/BUILDING,/location/structure/restaurant
/building/sports_facility,/FACILITY/BUILDING,/location/structure/sports_facility
/building/theater,/FACILITY/BUILDING,/location/structure/theater
/chemistry,-,/other/scientific
/computer,-,/other/product/computer
/computer/algorithm,-,-
/computer/programming_language,-,/other/language/programming_language
/disease,/DISEASE,/other/health/malady
/education,/ORGANIZATION/EDUCATIONAL,/organization/education
/education/department,/ORGANIZATION/EDUCATIONAL,-
/education/educational_degree,-,-
/event,/EVENT,/other/event
/event/attack,/EVENT,/other/event
/event/election,/EVENT,/other/event/election
/event/military_conflict,/EVENT/WAR,/other/event/violent_conflict
/event/natural_disaster,/EVENT,/other/event/natural_disaster
/event/protest,/EVENT,/other/event/protest
/event/sports_event,/EVENT,/other/event/sports_event
/event/terrorist_attack,/EVENT,/other/event
/finance,-,-
/finance/currency,-,/other/currency
/finance/stock_exchange,-,/organization/stock_exchange
/food,/SUBSTANCE/FOOD,/other/food
/game,/GAME,-
/geography,/LOCATION,/location/geography
/geography/glacier,/LOCATION,/location/geography
/geography/island,/LOCATION,/location/geography/island
/geography/mountain,/LOCATION,/location/geography/mountain
/god,-,-
/government,/ORGANIZATION/GOVERNMENT,/organization/government
/government_agency,/ORGANIZATION/GOVERNMENT,-
/government/government,/ORGANIZATION/GOVERNMENT,/organization/government
/government/political_party,/ORGANIZATION/GOVERNMENT,/organization/political_party
/internet,-,/other/internet
/internet/website,-,/other/internet
/language,/LANGUAGE,/other/language
/law,/LAW,/person/legal
/livingthing,-,/other/living_thing
/livingthing/animal,/ANIMAL,/other/living_thing/animal
/location,/LOCATION,/location
/location/body_of_water,/LOCATION/LAKE_SEA_OCEAN,/location/geography/body_of_water
/location/bridge,/FACILITY/BRIDGE,/location/transit/bridge
/location/cemetery,/LOCATION,/location
/location/city,/GPE/CITY,/location/city
/location/country,/GPE/COUNTRY,/location/country
/location/county,/LOCATION,/location
/location/province,/GPE/STATE_PROVINCE,/location
/medicine,-,/other/scientific
/medicine/drug,/SUBSTANCE/DRUG,/other/health/treatment
/medicine/medical_treatment,-,/other/health/treatment
/medicine/symptom,-,-
/metropolitan_transit,-,/location/transit
/metropolitan_transit/transit_line,-,/location/transit
/military,-,/organization/military
/music,/WORK_OF_ART/SONG,/organization/music
/news_agency,/ORGANIZATION,/organization/company/news
/newspaper,-,-
/organization,/ORGANIZATION,/organization
/organization/airline,/ORGANIZATION,/organization/transit
/organization/company,/ORGANIZATION/CORPORATION,/organization/company
/organization/educational_institution,/ORGANIZATION/EDUCATIONAL,/organization/education
/organization/fraternity_sorority,/ORGANIZATION,/organization
/organization/sports_league,/ORGANIZATION,/organization/sports_league
/organization/sports_team,/ORGANIZATION,/organization/sports_team
/organization/terrorist_organization,/ORGANIZATION,/organization/military
/park,/LOCATION,/location/park
/people,-,-
/people/ethnicity,-,-
/person,/PERSON,/person
/person/actor,/PERSON,/person/artist/actor
/person/architect,/PERSON,/person
/person/artist,/PERSON,/person/artist
/person/athlete,/PERSON,/person/athlete
/person/author,/PERSON,/person/artist/author
/person/coach,/PERSON,/person/coach
/person/director,/PERSON,/person/artist/director
/person/doctor,/PERSON,/person/doctor
/person/engineer,/PERSON,/person
/person/monarch,/PERSON,/person/political_figure
/person/musician,/PERSON,/person/artist/music
/person/politician,/PERSON,/person/political_figure
/person/religious_leader,/PERSON,/person/religious_leader
/person/soldier,/PERSON,/person/military
/person/terrorist,/PERSON,/person
/play,/WORK_OF_ART/PLAY,/other/art/stage
/product,/PRODUCT,/other/product
/product/airplane,/PRODUCT,/other/product
/product/camera,/PRODUCT,/other/product
/product/car,/PRODUCT,/other/product/car
/product/computer,/PRODUCT,/other/product/computer
/product/engine_device,/PRODUCT,/other/product
/product/instrument,/PRODUCT,/other/product
/product/mobile_phone,/PRODUCT,/other/product/mobile_phone
/product/ship,/PRODUCT,/other/product
/product/spacecraft,/PRODUCT,/other/product
/product/weapon,/PRODUCT/WEAPON,/other/product/weapon
/rail,-,-
/rail/railway,-,/location/transit/railway
/religion,-,/other/religion
/religion/religion,-,/other/religion
/software,/PRODUCT,/other/product/software
/time,-,-
/title,-,/person/title
/train,/PRODUCT,/other/product
/transit,-,/location/transit
/transportation,/FACILITY,/location/transit
/transportation/road,/FACILITY,/location/transit/road
/visual_art,/WORK_OF_ART,-
/visual_art/color,/WORK_OF_ART,-
/written_work,/WORK_OF_ART/BOOK,/other/art/writing