ontonotes_shimaoka,bbn,figer
/location,/LOCATION,/location
/location/celestial,/LOCATION,/location
/location/city,/GPE/CITY,/location/city
/location/country,/GPE/COUNTRY,/location/country
/location/geography,/LOCATION,/geography
/location/park,/LOCATION,/park
/location/structure,/LOCATION,/location
/location/transit,/LOCATION,/transit
/location/geography/body_of_water,/LOCATION,/location/body_of_water
/location/geography/island,/LOCATION,/geography/island
/location/geography/mountain,/LOCATION,/geography/mountain
/location/geograpy/island,/LOCATION,/geography/island
/location/structure/airport,/FACILITY/AIRPORT,/building/airport
/location/structure/government,/ORGANIZATION/GOVERNMENT,/government
/location/structure/hospital,/ORGANIZATION/HOSPITAL,/building/hospital
/location/structure/hotel,/ORGANIZATION/HOTEL,/building/hotel
/location/structure/restaurant,/LOCATION,/building/restaurant
/location/structure/sports_facility,/LOCATION,/building/sports_facility
/location/structure/theater,/LOCATION,/building/theater
/location/transit/bridge,/FACILITY/BRIDGE,/location/bridge
/location/transit/railway,/LOCATION,/rail/railway
/location/transit/road,/LOCATION,/transportation/road
/organization,/ORGANIZATION,/organization
/organization/company,/ORGANIZATION/CORPORATION,/organization/company
/organization/education,/ORGANIZATION/EDUCATIONAL,/organization/educational_institution
/organization/government,/ORGANIZATION/GOVERNMENT,/government
/organization/military,/ORGANIZATION,/military
/organization/music,/ORGANIZATION,/organization
/organization/political_party,/ORGANIZATION/POLITICAL,/government/political_party
/organization/sports_league,/ORGANIZATION,/organization/sports_league
/organization/sports_team,/ORGANIZATION,/organization/sports_team
/organization/stock_exchange,/ORGANIZATION,/finance/stock_exchange
/organization/transit,/ORGANIZATION,/organization
/organization/company/broadcast,/ORGANIZATION,/organization
/organization/company/news,/ORGANIZATION,/news_agency
/person,/PERSON,/person
/person/artist,/PERSON,/person/artist
/person/athlete,/PERSON,/person/athlete
/person/coach,/PERSON,/person/coach
/person/doctor,/PERSON,/person/doctor
/person/legal,/PERSON,/person
/person/military,/PERSON,/person/soldier
/person/political_figure,/PERSON,/person/politician
/person/religious_leader,/PERSON,/person/religious_leader
/person/title,/PERSON,/title
/person/artist/actor,/PERSON,/person/actor
/person/artist/author,/PERSON,/person/author
/person/artist/director,/PERSON,/person/director
/person/artist/music,/PERSON,/person/musician
/other,-,-
/other/art,/WORK_OF_ART,/art
/other/award,-,/award
/other/body_part,-,/body_part
/other/currency,-,/finance/currency
/other/event,/EVENT,/event
/other/food,/SUBSTANCE/FOOD,/food
/other/health,-,-
/other/heritage,-,-
/other/internet,-,/internet
/other/language,/LANGUAGE,/language
/other/legal,/LAW,/law
/other/living_thing,-,/livingthing
/other/product,/PRODUCT,/product
/other/religion,/ORGANIZATION/RELIGIOUS,/religion
/other/scientific,-,-
/other/sports_and_leisure,-,-
/other/supernatural,-,-
/other/art/broadcast,/WORK_OF_ART,/broadcast
/other/art/film,/WORK_OF_ART/PLAY,/art/film
/other/art/music,/WORK_OF_ART/SONG,/music
/other/art/stage,/WORK_OF_ART/PLAY,/play
/other/art/writing,/WORK_OF_ART/BOOK,/written_work
/other/event/accident,/EVENT,/event
/other/event/election,/EVENT,/event/election
/other/event/holiday,/EVENT,/event
/other/event/natural_disaster,/EVENT,/event/natural_disaster
/other/event/protest,/EVENT,/event/protest
/other/event/sports_event,/EVENT,/event/sports_event
/other/event/violent_conflict,/EVENT/WAR,/event/military_conflict
/other/health/malady,/DISEASE,/disease
/other/health/treatment,/SUBSTANCE/DRUG,/medicine/medical_treatment
/other/language/programming_language,/LANGUAGE,/computer/programming_language
/other/living_thing/animal,/ANIMAL,/livingthing/animal
/other/product/car,/PRODUCT/VEHICLE,/product/car
/other/product/computer,/PRODUCT,/product/computer
/other/product/mobile_phone,/PRODUCT,/product/mobile_phone
/other/product/software,/PRODUCT,/software
/other/product/weapon,/PRODUCT/WEAPON,/product/weapon