figer,bbn,ontonotes_shimaoka
/art,/WORK_OF_ART,/other/art/
/art/film,-,/other/art/film
/astral_body,-,/location/celestial
/award,-,/other/award
/biology,-,/other/scientific
/body_part,-,/other/body_part
/broadcast,/WORK_OF_ART,/other/art/broadcast
/broadcast_network,-,/organization/company/broadcast
/broadcast_program,/WORK_OF_ART,-
/broadcast/tv_channel,-,-
/building,/FACILITY/BUILDING,/location/structure
/building/airport,/FACILITY/AIRPORT,/location/structure/airport
/building/dam,-,-
/building/hospital,/ORGANIZATION/HOSPITAL,/location/structure/hospital
/building/hotel,-,/location/structure/hotel
/building/library,-,-
/building/power_station,-,-
/building/restaurant,-,/location/structure/restaurant
/building/sports_facility,-,/location/structure/sports_facility
/building/theater,-,/location/structure/theater
/chemistry,-,/other/scientific
/computer,-,/other/product/computer
/computer/algorithm,-,-
/computer/programming_language,-,/other/language/programming_language
/disease,/DISEASE,/other/health/malady
/education,/ORGANIZATION/EDUCATIONAL,/organization/education
/education/department,/ORGANIZATION/EDUCATIONAL,-
/education/educational_degree,-,-
/event,/EVENT,/other/event
/event/attack,-,-
/event/election,-,/other/event/election
/event/military_conflict,/EVENT/WAR,/other/event/violent_conflict
/event/natural_disaster,-,/other/event/natural_disaster
/event/protest,-,/other/event/protest
/event/sports_event,-,/other/event/sports_event
/event/terrorist_attack,-,-
/finance,-,-
/finance/currency,-,/other/currency
/finance/stock_exchange,-,/organization/stock_exchange
/food,/SUBSTANCE/FOOD,/other/food
/game,/GAME,-
/geography,-,/location/geography
/geography/glacier,-,-
/geography/island,-,/location/geography/island
/geography/mountain,-,/location/geography/mountain
/god,-,-
/government,/ORGANIZATION/GOVERNMENT,/location/structure/government
/government_agency,-,-
/government/government,-,-
/government/political_party,-,/organization/political_party
/internet,-,/other/internet
/internet/website,-,-
/language,/LANGUAGE,/other/language
/law,/LAW,/person/legal
/living_thing,-,/other/living_thing
/livingthing,-,/other/living_thing
/living_thing/animal,/ANIMAL,/other/living_thing/animal
/location,/LOCATION,/location
/location/body_of_water,/LOCATION/LAKE_SEA_OCEAN,/location/geography/body_of_water
/location/bridge,/FACILITY/BRIDGE,/location/transit/bridge
/location/cemetery,-,-
/location/city,/GPE/CITY,/location/city
/location/country,/GPE/COUNTRY,/location/country
/location/county,-,-
/location/province,/GPE/STATE_PROVINCE,-
/medicine,-,/other/scientific
/medicine/drug,/SUBSTANCE/DRUG,/other/health/treatment
/medicine/medical_treatment,-,/other/health/treatment
/medicine/symptom,-,-
/metropolitan_transit,-,/location/transit
/metropolitan_transit/transit_line,-,-
/military,-,/organization/military
/music,/WORK_OF_ART/SONG,/organization/music
/news_agency,/ORGANIZATION,/organization/company/news
/newspaper,-,-
/organization,/ORGANIZATION,/organization
/organization/airline,-,/organization/transit
/organization/company,/ORGANIZATION/CORPORATION,/organization/company
/organization/educational_institution,/ORGANIZATION/EDUCATIONAL,/organization/education
/organization/fraternity_sorority,-,-
/organization/sports_league,-,/organization/sports_league
/organization/sports_team,-,/organization/sports_team
/organization/terrorist_organization,-,/organization/military
/park,-,/location/park
/people,-,-
/people/ethnicity,-,-
/person,/PERSON,/person
/person/actor,-,/person/artist/actor
/person/architect,-,-
/person/artist,-,/person/artist
/person/athlete,-,/person/athlete
/person/author,-,/person/artist/author
/person/coach,-,/person/coach
/person/director,-,/person/artist/director
/person/doctor,-,/person/doctor
/person/engineer,-,-
/person/monarch,-,/person/political_figure
/person/musician,-,/person/artist/music
/person/politician,-,/person/political_figure
/person/religious_leader,-,/person/religious_leader
/person/soldier,-,/person/military
/person/terrorist,-,-
/play,/WORK_OF_ART/PLAY,/other/art/stage
/product,/PRODUCT,/other/product
/product/airplane,-,-
/product/camera,-,-
/product/car,-,/other/product/car
/product/computer,-,/other/product/computer
/product/engine_device,-,-
/product/instrument,-,-
/product/mobile_phone,-,/other/product/mobile_phone
/product/ship,-,-
/product/spacecraft,-,-
/product/weapon,/PRODUCT/WEAPON,/other/product/weapon
/rail,-,-
/rail/railway,-,/location/transit/railway
/religion,-,/other/religion
/religion/religion,-,/other/religion
/software,-,/other/product/software
/time,-,-
/title,-,/person/title
/train,-,-
/transit,-,/location/transit
/transportation,-,-
/transportation/road,-,/location/transit/road
/visual_art,/WORK_OF_ART,-
/visual_art/color,-,-
/written_work,/WORK_OF_ART/BOOK,/other/art/writing