src,denoising,denoising_method,test/micro/precision,test/micro/recall,test/micro/f1,test/macro_example/precision,test/macro_example/recall,test/macro_example/f1,test/macro_types/precision,test/macro_types/recall,test/macro_types/f1
figer,-1.0,-1,0.7132505178451538,0.8202381134033203,0.763012170791626,0.7847437262535095,0.8338069915771484,0.8085317015647888,0.2308752387762069,0.2623018026351928,0.2455872148275375
figer,10.0,TTA,0.6584673523902893,0.8285714387893677,0.7337901592254639,0.7311962842941284,0.8494671583175659,0.7859070301055908,0.213992640376091,0.2232394516468048,0.2185182720422744
figer,10.0,TTR,0.7679557800292969,0.8273809552192688,0.7965616583824158,0.8362584114074707,0.8582001328468323,0.8470872044563293,0.2162057757377624,0.2486444413661956,0.2312932759523391
figer,10.0,TTAR,0.7543290257453918,0.8297619223594666,0.7902494668960571,0.8175886273384094,0.8580225110054016,0.8373177647590637,0.2106158137321472,0.2405887246131897,0.2246067374944687
figer,20.0,TTA,0.7112675905227661,0.8416666388511658,0.7709923982620239,0.7971566915512085,0.8663114309310913,0.8302966356277466,0.2124243974685669,0.2407614439725875,0.2257069796323776
figer,20.0,TTR,0.7497326135635376,0.8345237970352173,0.7898591756820679,0.8168929219245911,0.8612197041511536,0.8384708762168884,0.2102602124214172,0.2489427328109741,0.2279721945524215
figer,20.0,TTAR,0.7283298373222351,0.8202381134033203,0.771556556224823,0.7950477600097656,0.8442865610122681,0.8189277052879333,0.2179676294326782,0.2457601279020309,0.2310310304164886
figer,30.0,TTA,0.7022587060928345,0.8142856955528259,0.7541345357894897,0.7819314002990723,0.8369449377059937,0.8085034489631653,0.2203971445560455,0.2526260018348694,0.2354136407375335
figer,30.0,TTR,0.7458926439285278,0.8107143044471741,0.7769537568092346,0.8074791431427002,0.8335405588150024,0.8203029036521912,0.2058722376823425,0.2355078607797622,0.2196951359510421
figer,30.0,TTAR,0.7191129922866821,0.8107143044471741,0.76217120885849,0.7802489399909973,0.8346359133720398,0.8065266013145447,0.22087924182415,0.2299544811248779,0.2253255099058151
bbn,-1.0,-1,0.7234153747558594,0.8075317740440369,0.7631626725196838,0.7433907985687256,0.8039516806602478,0.7724860906600952,0.444330632686615,0.4811520576477051,0.4620088338851928
bbn,10.0,TTA,0.729224443435669,0.8423274755477905,0.7817059755325317,0.7541230916976929,0.8415255546569824,0.795430600643158,0.4172199964523315,0.4610434770584106,0.4380383789539337
bbn,10.0,TTR,0.7298945784568787,0.8535863161087036,0.7869094610214233,0.7682859897613525,0.8464652299880981,0.8054830431938171,0.4475460648536682,0.4784476161003113,0.4624812304973602
bbn,10.0,TTAR,0.7216600775718689,0.8168494701385498,0.7663100361824036,0.7434407472610474,0.819054126739502,0.7794178128242493,0.4329411685466766,0.4664037823677063,0.4490499496459961
bbn,20.0,TTA,0.7353595495223999,0.8500922322273254,0.7885745167732239,0.7655705213546753,0.8469105958938599,0.8041890263557434,0.4096667170524597,0.4433138370513916,0.4258266389369964
bbn,20.0,TTR,0.7322888970375061,0.8211686015129089,0.7741861939430237,0.7564890384674072,0.8188517093658447,0.7864360213279724,0.4363255798816681,0.4489097595214844,0.4425282478332519
bbn,20.0,TTAR,0.7549360394477844,0.8331553936004639,0.7921194434165955,0.7759251594543457,0.830998420715332,0.8025180101394653,0.4455287456512451,0.4473881721496582,0.4464565217494964
bbn,30.0,TTA,0.7192316055297852,0.8176259398460388,0.7652789950370789,0.7460644245147705,0.8170297145843506,0.7799361348152161,0.4533014297485351,0.4531385600566864,0.4532199800014496
bbn,30.0,TTR,0.7212180495262146,0.8229641914367676,0.7687390446662903,0.7521682381629944,0.8222527503967285,0.7856506109237671,0.3851160705089569,0.4372616410255432,0.4095356464385986
bbn,30.0,TTAR,0.7338635921478271,0.8552363514900208,0.7899149060249329,0.7662810683250427,0.849785327911377,0.8058757781982422,0.4292465448379516,0.4799312353134155,0.4531761109828949
ontonotes_shimaoka,-1.0,-1,0.6304410099983215,0.6596729755401611,0.6447257995605469,0.6919547915458679,0.7102681398391724,0.7009918689727783,0.1989188939332962,0.2248795926570892,0.2111041098833084
ontonotes_shimaoka,10.0,TTA,0.6693674325942993,0.5428208708763123,0.5994887351989746,0.7486332654953003,0.6335304379463196,0.6862891316413879,0.046664535999298,0.0517599321901798,0.049080342054367
ontonotes_shimaoka,10.0,TTR,0.6031299233436584,0.6877473592758179,0.6426652669906616,0.6617084741592407,0.7416657209396362,0.6994093060493469,0.1815874874591827,0.2419811487197876,0.2074787616729736
ontonotes_shimaoka,10.0,TTAR,0.5710595846176147,0.6438437700271606,0.6052714586257935,0.6135730147361755,0.6869277954101562,0.6481815576553345,0.1614397764205932,0.2073934376239776,0.1815538704395294
ontonotes_shimaoka,20.0,TTA,0.6004925966262817,0.6917793154716492,0.6429116725921631,0.6565454006195068,0.7445944547653198,0.6978033781051636,0.1760054379701614,0.2525935173034668,0.207456573843956
ontonotes_shimaoka,20.0,TTR,0.6344468593597412,0.6920033097267151,0.6619763970375061,0.688585638999939,0.7470731735229492,0.7166380286216736,0.2191390097141266,0.2325222194194793,0.2256323397159576
ontonotes_shimaoka,20.0,TTAR,0.6215847730636597,0.6811767220497131,0.6500177383422852,0.6873147487640381,0.7341645359992981,0.7099676728248596,0.1595639586448669,0.2307618558406829,0.1886694431304931
ontonotes_shimaoka,30.0,TTA,0.5712597370147705,0.6856566667556763,0.6232523322105408,0.6374364495277405,0.7319220304489136,0.6814194321632385,0.1628831177949905,0.259463906288147,0.2001306414604187
ontonotes_shimaoka,30.0,TTR,0.6542432904243469,0.714328408241272,0.6829668879508972,0.7095602750778198,0.7636263966560364,0.7356011867523193,0.2101022005081176,0.2497628778219223,0.2282222807407379
ontonotes_shimaoka,30.0,TTAR,0.6146134734153748,0.6820726990699768,0.6465883255004883,0.6714224815368652,0.7328089475631714,0.7007739543914795,0.1712145358324051,0.228563904762268,0.1957757622003555
